borough_name,rental_total_price2020,rental_total_price2021,change_rental_total_price_2020_2021,total_rental_count2020,total_rental_count2021,change_total_rental_count_2020_2021,rent_price_mean_one_room2020,rent_price_mean_one_room2021,change_rent_price_mean_one_room_2020_2021,rential_price_one_poroperty2020,rential_price_one_poroperty2021,change_rental_price_one_poroperty2020_2021,bedrooms_mean2020,bedrooms_mean2021,change_bedrooms_mean2020_2021,airbnb_price_mean2020,airbnb_price_mean2021,change_airbnb_price_mean2020_2021,area2020,total_airbnb_count_listing2020,total_airbnb_count_listing2021,change_total_airbnb_count_listing2020_2021,density_total_airbnb_count_listing2020,density_total_count_listing2021,change_density_total_count_listing2020_2021,airbnb_room_price2020,airbnb_room_price_mean2021,change_airbnb_room_price_mean2020_2021,IMD - Average score2019
City of London,20500,361640,341140,10,190,180,2050,1390.92,-659.08,2050,1903,-147,1.32,1.26,-0.06,296.31,233.87,-62.44,2.9,448,352,-96,154.27,121.22,-33.05,223.98,185.91,-38.07,14.7
Barking and Dagenham,708550,1155060,446510,580,940,360,595.42,589.32,-6.1,1221.64,1229,7.36,1.33,1.42,0.09,66.33,72.88,6.54,36.11,405,401,-4,11.22,11.11,-0.11,49.94,51.28,1.33,32.8
Barnet,2323010,3505450,1182440,1580,2440,860,725.94,725.77,-0.17,1470.26,1437,-33.26,1.54,1.54,0,84.34,130.21,45.87,86.75,1643,1573,-70,18.94,18.13,-0.81,54.87,84.71,29.84,16.1
Bexley,965480,1077930,112450,850,870,20,527.58,570.33,42.75,1135.86,1239,103.14,1.39,1.44,0.05,59.23,66.36,7.12,60.58,273,283,10,4.51,4.67,0.16,42.55,46.06,3.51,16.3
Brent,1901470,2468560,567090,1280,1670,390,706.87,683.81,-23.06,1485.52,1478,-7.52,1.51,1.55,0.05,94.35,125.8,31.46,43.23,2338,2034,-304,54.08,47.05,-7.03,62.51,80.91,18.41,25.6
Bromley,2535010,3258360,723350,1900,2380,480,645.04,670.44,25.4,1334.22,1369,34.78,1.45,1.52,0.07,70.79,78.95,8.16,150.13,579,555,-24,3.86,3.7,-0.16,48.88,51.98,3.09,14.2
Camden,1582420,1861460,279040,800,930,130,1180.91,1149.05,-31.86,1978.03,2002,23.97,1.52,1.49,-0.03,123.72,148,24.29,21.79,5258,4914,-344,241.31,225.52,-15.79,81.6,99.36,17.77,20.1
Croydon,1984090,2868370,884280,1700,2320,620,629.87,638.84,8.97,1167.11,1236,68.89,1.28,1.3,0.02,57.71,66.71,9,86.49,1109,1060,-49,12.82,12.26,-0.56,45.15,51.25,6.1,22.5
Ealing,3694950,3290220,-404730,2330,2120,-210,810.3,789.02,-21.28,1585.82,1552,-33.82,1.46,1.44,-0.02,85.53,91.44,5.92,55.54,1673,1617,-56,30.12,29.11,-1.01,58.75,63.71,4.96,22.7
Enfield,1076520,1315870,239350,820,980,160,640.79,661.24,20.45,1312.83,1343,30.17,1.44,1.4,-0.04,68.69,69.19,0.5,82.2,685,587,-98,8.33,7.14,-1.19,47.86,49.46,1.6,25.8
Greenwich,1376100,2909870,1533770,990,1990,1000,698.53,755.81,57.28,1390,1462,72,1.49,1.5,0.02,82.53,135.38,52.85,47.33,1583,1503,-80,33.44,31.75,-1.69,55.49,90.02,34.53,24.5
Hackney,2647060,2242750,-404310,1430,1290,-140,948.77,930.6,-18.17,1851.09,1739,-112.09,1.42,1.41,0,86.23,100.35,14.12,19.05,5721,5306,-415,300.33,278.54,-21.79,60.9,71,10.11,32.5
Hammersmith and Fulham,3463590,4835820,1372230,1680,2450,770,1092.62,1046.71,-45.91,2061.66,1974,-87.66,1.59,1.61,0.02,116.68,138.55,21.87,16.4,3574,3172,-402,217.96,193.44,-24.52,73.36,86.21,12.85,22.3
Haringey,789380,2910200,2120820,490,1890,1400,789.38,797.32,7.94,1610.98,1540,-70.98,1.51,1.5,-0.01,85.79,97.88,12.09,29.6,2120,1950,-170,71.63,65.88,-5.75,57,65.38,8.38,28
Harrow,1468670,2711800,1243130,1030,1940,910,638.55,629.19,-9.36,1425.89,1398,-27.89,1.46,1.46,0,73.44,74.63,1.19,50.46,451,434,-17,8.94,8.6,-0.34,50.38,51.14,0.76,15
Havering,1058540,1513130,454590,890,1240,350,542.84,556.3,13.46,1189.37,1220,30.63,1.49,1.6,0.11,68.09,84.85,16.75,112.35,253,259,6,2.25,2.31,0.06,45.65,52.89,7.24,16.8
Hillingdon,2349580,1557610,-791970,1860,1240,-620,650.85,613.23,-37.62,1263.22,1256,-7.22,1.36,1.43,0.07,59.12,104.59,45.46,115.7,627,635,8,5.42,5.49,0.07,43.34,73.02,29.68,18.2
Hounslow,2452110,2562540,110430,1780,1860,80,686.87,696.34,9.47,1377.59,1378,0.41,1.45,1.48,0.03,89.92,112.32,22.4,55.93,1034,1016,-18,18.49,18.17,-0.32,61.98,76.02,14.04,21.5
Islington,780090,4112810,3332720,400,2250,1850,1098.72,1020.55,-78.17,1950.23,1828,-122.23,1.42,1.41,-0.01,126.87,139.96,13.09,14.86,4488,4033,-455,302.09,271.46,-30.63,89.55,99.32,9.77,27.5
Kensington and Chelsea,5019380,7193630,2174250,1650,2650,1000,1678.72,1550.35,-128.37,3042.05,2715,-327.05,1.63,1.59,-0.03,172.86,205.25,32.39,12.12,5329,5049,-280,439.55,416.45,-23.1,106.18,128.8,22.62,21.5
Kingston upon Thames,1081000,2229080,1148080,810,1500,690,679.87,719.06,39.19,1334.57,1486,151.43,1.55,1.62,0.07,83.91,114.29,30.39,37.26,511,523,12,13.71,14.04,0.33,54.24,70.5,16.26,11.4
Lambeth,2443470,3648900,1205430,1310,2100,790,929.08,875.04,-54.04,1865.24,1738,-127.24,1.46,1.45,0,89.94,100,10.06,26.81,4406,3873,-533,164.34,144.46,-19.88,61.75,68.89,7.14,25.4
Lewisham,1735790,3050180,1314390,1330,2260,930,748.19,736.76,-11.43,1305.11,1350,44.89,1.41,1.43,0.02,78.17,88.17,10,35.15,2174,1976,-198,61.85,56.22,-5.63,55.32,61.6,6.28,26.7
Merton,2616280,2152350,-463930,1540,1330,-210,809.99,797.17,-12.82,1698.88,1618,-80.88,1.6,1.62,0.02,106.76,119.68,12.92,37.62,1249,1123,-126,33.2,29.85,-3.35,66.65,73.78,7.14,14.6
Newham,2133820,3552730,1418910,1440,2330,890,735.8,833.97,98.17,1481.82,1525,43.18,1.38,1.41,0.03,82.02,89.91,7.89,36.2,1855,1652,-203,51.24,45.63,-5.61,59.36,63.84,4.48,29.6
Redbridge,1496400,2060230,563830,1140,1570,430,647.79,649.91,2.12,1312.63,1312,-0.63,1.36,1.37,0.01,74.2,75.13,0.93,56.42,692,659,-33,12.27,11.68,-0.59,54.42,54.77,0.35,17.2
Richmond upon Thames,3522760,4606570,1083810,1810,2480,670,896.38,896.22,-0.16,1946.28,1857,-89.28,1.76,1.76,0,120.28,137.42,17.14,57.35,1133,1026,-107,19.75,17.89,-1.86,68.51,78.2,9.69,9.4
Southwark,2095150,4405670,2310520,1220,2540,1320,931.18,915.94,-15.24,1717.34,1735,17.66,1.43,1.4,-0.03,102.49,173.17,70.68,28.86,4330,4097,-233,150.02,141.95,-8.07,71.51,123.31,51.8,25.8
Sutton,1430190,1454040,23850,1250,1260,10,621.82,632.19,10.37,1144.15,1154,9.85,1.38,1.27,-0.1,90.93,75.98,-14.95,43.85,302,294,-8,6.89,6.71,-0.18,66.01,59.61,-6.4,14
Tower Hamlets,3105970,2992480,-113490,1730,1820,90,1011.72,923.6,-88.12,1795.36,1644,-151.36,1.34,1.34,0,88.46,103.38,14.92,19.78,6829,6050,-779,345.28,305.9,-39.38,65.8,76.93,11.13,27.9
Waltham Forest,1723380,2144310,420930,1270,1560,290,694.91,703.05,8.14,1356.99,1375,18.01,1.49,1.53,0.04,69.38,75.06,5.67,38.81,1372,1288,-84,35.35,33.19,-2.16,46.45,48.94,2.49,25.2
Wandsworth,3568130,6182890,2614760,1850,3190,1340,903.32,921.44,18.12,1928.72,1938,9.28,1.66,1.65,-0.01,107.36,131.29,23.92,34.26,3944,3608,-336,115.11,105.3,-9.81,64.69,79.52,14.83,16.6
Westminster,3990490,3903240,-87250,1510,1500,-10,1571.06,1518.77,-52.29,2642.71,2602,-40.71,1.57,1.54,-0.03,184.02,241.7,57.68,21.49,8576,7705,-871,399.13,358.59,-40.54,117.31,157.01,39.7,20.3
